Name,Purpose,Quantity,Total (USD),Link,Distributor
"HiLetgo 1.8"" inch ST7735R SPI 128 * 160 TFT LCD Display Module with PCB",The screen that displays song and artist,1,$9.69,https://www.amazon.com/dp/B00LSG51MM,Amazon
"C3 Mini V2.1.0 - LOLIN WIFI Bluetooth LE BLE IOT Board ESP32-C3FH4 ESP32-C3 4MB FLASH MicroPython Arduino Compatible",Is the main componenet and brain of the entire system,1,$5.66,https://www.aliexpress.us/item/3256804553736450.html,Aliexpress
"WWZMD1B 6Pcs EC11 Rotary Encoder with Push Button 360 5 Pins and Knob Cap for Arduino Raspberry Pi ESP32",used to change the volume increasing and decreasing it,1,$8.88,https://www.amazon.com/dp/B0C6Q67V97,Amazon
MX Switches,used to pause play and skip songs,1,$0,,Myself
